Turbulence Experiments,Starting Altitude (AGL),Wind Layer Altitude,Wind Direction,Wind Speed,Turbulence,Thermal Rate,Thermal Percent,Thermal Altitude,Cognitive Delay
0,2900,0,179,0,1,500,0.9,15000,0.05
1,2900,0,179,0,1,500,0.9,15000,0.15
2,2900,0,179,0,1,500,0.9,15000,0.25
3,2900,0,179,0,1,500,0.9,15000,0.35
4,2900,0,179,0,1,500,0.9,15000,0.45
5,2900,0,179,0,1,500,0.9,15000,0.55
6,2900,0,179,0,2,500,0.9,15000,0.05
7,2900,0,179,0,2,500,0.9,15000,0.15
8,2900,0,179,0,2,500,0.9,15000,0.25
9,2900,0,179,0,2,500,0.9,15000,0.35
10,2900,0,179,0,2,500,0.9,15000,0.45
11,2900,0,179,0,2,500,0.9,15000,0.55
12,2900,0,179,0,3,500,0.9,15000,0.05
13,2900,0,179,0,3,500,0.9,15000,0.15
14,2900,0,179,0,3,500,0.9,15000,0.25
15,2900,0,179,0,3,500,0.9,15000,0.35
16,2900,0,179,0,3,500,0.9,15000,0.45
17,2900,0,179,0,3,500,0.9,15000,0.55
18,2900,0,179,0,4,500,0.9,15000,0.05
19,2900,0,179,0,4,500,0.9,15000,0.15
20,2900,0,179,0,4,500,0.9,15000,0.25
21,2900,0,179,0,4,500,0.9,15000,0.35
22,2900,0,179,0,4,500,0.9,15000,0.45
23,2900,0,179,0,4,500,0.9,15000,0.55
24,2900,0,179,0,5,500,0.9,15000,0.05
25,2900,0,179,0,5,500,0.9,15000,0.15
26,2900,0,179,0,5,500,0.9,15000,0.25
27,2900,0,179,0,5,500,0.9,15000,0.35
28,2900,0,179,0,5,500,0.9,15000,0.45
29,2900,0,179,0,5,500,0.9,15000,0.55
30,2900,0,179,0,6,500,0.9,15000,0.05
31,2900,0,179,0,6,500,0.9,15000,0.15
32,2900,0,179,0,6,500,0.9,15000,0.25
33,2900,0,179,0,6,500,0.9,15000,0.35
34,2900,0,179,0,6,500,0.9,15000,0.45
35,2900,0,179,0,6,500,0.9,15000,0.55
36,2900,0,179,0,7,500,0.9,15000,0.05
37,2900,0,179,0,7,500,0.9,15000,0.15
38,2900,0,179,0,7,500,0.9,15000,0.25
39,2900,0,179,0,7,500,0.9,15000,0.35
40,2900,0,179,0,7,500,0.9,15000,0.45
41,2900,0,179,0,7,500,0.9,15000,0.55
42,2900,0,179,0,8,500,0.9,15000,0.05
43,2900,0,179,0,8,500,0.9,15000,0.15
44,2900,0,179,0,8,500,0.9,15000,0.25
45,2900,0,179,0,8,500,0.9,15000,0.35
46,2900,0,179,0,8,500,0.9,15000,0.45
47,2900,0,179,0,8,500,0.9,15000,0.55
48,2900,0,179,0,9,500,0.9,15000,0.05
49,2900,0,179,0,9,500,0.9,15000,0.15
50,2900,0,179,0,9,500,0.9,15000,0.25
51,2900,0,179,0,9,500,0.9,15000,0.35
52,2900,0,179,0,9,500,0.9,15000,0.45
53,2900,0,179,0,9,500,0.9,15000,0.55
54,2900,0,179,0,10,500,0.9,15000,0.05
55,2900,0,179,0,10,500,0.9,15000,0.15
56,2900,0,179,0,10,500,0.9,15000,0.25
57,2900,0,179,0,10,500,0.9,15000,0.35
58,2900,0,179,0,10,500,0.9,15000,0.45
59,2900,0,179,0,10,500,0.9,15000,0.55
